year,month,quantity
2019,1,0.0036143512373007875
2019,2,0.00513856311228046
2019,3,0.003905660637913854
2019,4,0.003763533400448931
2019,5,0.0037097072946699616
2019,6,0.0018447921402315202
2019,7,0.002466289121046222
2019,8,0.004609542368709569
2019,9,0.003314104161916995
2019,10,0.029059618195585554
2019,11,1.0394611662462727
2019,12,1.8683833952504512
2020,1,1.728546712983272
2020,2,0.00317636741059661
2020,3,3.3922378566626947
2020,4,0.8624222636593712
2020,5,0.0014818684323921682
2020,6,0.005558303747529299
2020,7,inf
2020,8,0.010169632343431219
2020,9,0.017614114718984518
2020,10,0.009220642263537518
2020,11,0.005215199550200371
2020,12,0.0016570037592365339
2021,1,0.0026879950256528005
2021,2,0.004683431927536134
2021,3,0.004744568808521785
2021,4,0.002955253618186636
2021,5,0.0025595572291483106
2021,6,0.0024143958753078247
2021,7,0.002623862766564366
2021,8,0.005433868655165122
2021,9,0.003670921224163679
2021,10,0.00343049791017372
2021,11,0.003204694714586094
2021,12,0.00046607574776288204
2022,1,5.66614558978509e-05
2022,4,1.6883116883116883e-06
2022,10,0.0013984935377379822
2022,11,0.0004706182472989196
2022,12,0.00031260901323880864
